Stock,StockID,Name,AssetType,IsETF,Close,Change,ChangePct,Volume,MA20,MA60,MA120,RSI14,High20,High120,Vol20,NearHigh20Pct,NearHigh120Pct
2417.TW,2417,圓剛,未知,False,47.15,4.25,9.91,11878576,40.3,37.9,37.73,71.92,47.15,47.15,1798892.2,100.0,100.0
2467.TW,2467,志聖,未知,False,609.0,55.0,9.93,5755364,518.1,391.62,304.24,59.1,612.0,612.0,3205075.45,99.51,99.51
2850.TW,2850,新產,未知,False,133.0,5.5,4.31,1123400,123.5,118.29,117.42,69.77,135.5,135.5,350960.95,98.15,98.15
2885.TW,2885,元大金,未知,False,52.2,-0.1,-0.19,33839966,49.52,46.16,42.02,75.28,53.0,53.0,26521293.35,98.49,98.49
3356.TW,3356,奇偶,未知,False,54.0,1.3,2.47,1011485,51.45,49.19,48.13,62.93,54.3,54.3,658131.7,99.45,99.45
4526.TW,4526,東台,未知,False,36.75,2.45,7.14,23235849,34.23,33.9,32.84,56.8,37.4,39.0,5862880.5,98.26,94.23
4576.TW,4576,大銀微系統,未知,False,222.0,20.0,9.9,10107880,179.72,140.15,124.27,77.4,222.0,222.0,4379421.2,100.0,100.0
6197.TW,6197,佳必琪,未知,False,208.0,1.5,0.73,11639845,182.15,166.58,155.19,73.77,210.0,210.0,5057482.0,99.05,99.05
8996.TW,8996,高力,未知,False,1250.0,110.0,9.65,3449764,1093.7,922.77,747.7,65.67,1250.0,1250.0,2868430.3,100.0,100.0
006207.TW,006207,復華滬深,未知,True,32.85,0.26,0.8,660000,32.08,31.68,30.99,78.53,32.9,32.9,240341.8,99.85,99.85
00636.TW,00636,國泰中國A50,未知,True,28.32,0.17,0.6,1261119,27.75,27.02,26.85,79.58,28.39,28.39,803127.45,99.75,99.75
00701.TW,00701,國泰股利精選30,未知,True,30.09,-0.09,-0.3,1418572,29.67,29.3,28.83,64.42,30.61,30.61,1064095.8,98.3,98.3
00733.TW,00733,富邦臺灣中小,未知,True,64.4,2.3,3.7,3048250,60.82,55.95,51.32,63.89,64.75,64.75,1699151.85,99.46,99.46
00921.TW,00921,兆豐龍頭等權重,未知,True,20.36,0.1,0.49,726776,19.67,18.98,18.25,76.32,20.45,20.45,631170.4,99.56,99.56
